,Time,Observed rainfall - 01/08/2022 00:00,Urban net rain mm (Observed rainfall - 01/08/2022) - urbanised model,Rural net rain mm (Observed rainfall - 01/08/2022) - urbanised model,Sewer loss m3/s (Observed rainfall - 01/08/2022) - urbanised model,Total net rain mm (Observed rainfall - 01/08/2022) - urbanised model,Direct runoff m3/s (Observed rainfall - 01/08/2022) - urbanised model,Baseflow m3/s (Observed rainfall - 01/08/2022) - urbanised model,Total flow m3/s (Observed rainfall - 01/08/2022)- urbanised model
119,01/08/2022 01:59,0.0400765458426667,0.0031194017519639,0.0042382397019167,0,0.0073576414538807,0.107210476917846,0.14466742341495,0.251877900332796
120,01/08/2022 02:00,0.0320323750926667,0.0024937097619217,0.0033898531598289,0,0.0058835629217507,0.108930701548427,0.14469279633913,0.253623497887557
121,01/08/2022 02:01,0.0320323750926667,0.0024940960868456,0.0033919086775303,0,0.0058860047643759,0.11066527993721,0.144719343769553,0.255384623706763
122,01/08/2022 02:02,0.0320323750926667,0.0024944824117695,0.0033939641952317,0,0.0058884466070012,0.112412615871416,0.144747074775091,0.257159690646507
123,01/08/2022 02:03,0.0320323750926667,0.0024948687366933,0.003396019712933,0,0.0058908884496264,0.114172713822295,0.144775997868744,0.258948711691038
124,01/08/2022 02:04,0.0320323750926667,0.0024952550616172,0.0033980752306344,0,0.0058933302922516,0.115945578261098,0.144806121566072,0.26075169982717
125,01/08/2022 02:05,0.0320323750926667,0.0024956413865411,0.0034001307483358,0,0.0058957721348769,0.117731213659077,0.144837454385204,0.26256866804428
126,01/08/2022 02:06,0.0320323750926667,0.0024960277114649,0.0034021862660372,0,0.0058982139775021,0.119529624487481,0.144870004846831,0.264399629334312
127,01/08/2022 02:07,0.0320323750926667,0.0024964140363888,0.0034042417837385,0,0.0059006558201274,0.121340815217563,0.144903781474207,0.26624459669177
128,01/08/2022 02:08,0.0320323750926667,0.0024968003613126,0.0034062973014399,0,0.0059030976627526,0.123164790320573,0.144938792793149,0.268103583113722
129,01/08/2022 02:09,0.0320323750926667,0.0024971866862365,0.0034083528191413,0,0.0059055395053778,0.125001554267762,0.144975047332034,0.269976601599797
130,01/08/2022 02:10,0.0320323750926667,0.0024975730111604,0.0034104083368427,0,0.0059079813480031,0.126851111530382,0.145012553621802,0.271863665152184
131,01/08/2022 02:11,0.0320323750926667,0.0024979593360842,0.0034124638545441,0,0.0059104231906283,0.128713466579681,0.14505132019595,0.273764786775632
132,01/08/2022 02:12,0.0320323750926667,0.0024983456610081,0.0034145193722454,0,0.0059128650332536,0.130588623886913,0.145091355590535,0.275679979477448
133,01/08/2022 02:13,0.0320323750926667,0.0024987319859319,0.0034165748899468,0,0.0059153068758788,0.132476587923328,0.145132668344172,0.2776092562675
134,01/08/2022 02:14,0.0320323750926667,0.0024991183108558,0.0034186304076482,0,0.005917748718504,0.134377363160176,0.145175266998032,0.279552630158208
135,01/08/2022 02:15,0.0320323750926667,0.0024995046357797,0.0034206859253496,0,0.0059201905611293,0.13629095406871,0.145219160095843,0.281510114164553
