Time,100 year design rainfall - FEH 2013 model,Urban net rain mm (100 year) - as 100% rural model,Rural net rain mm (100 year) - as 100% rural model,Sewer loss m3/s (100 year) - as 100% rural model,Total net rain mm (100 year) - as 100% rural model,Direct runoff m3/s (100 year) - as 100% rural model,Baseflow m3/s (100 year) - as 100% rural model,Total flow m3/s (100 year) - as 100% rural model
01:00:00,0.0712114593280795,0,0.0135144468907144,0,0.0135144468907144,0.0238793192375027,0.318599330670765,0.342478649908268
01:01:00,0.0721178904360036,0,0.0136995248182989,0,0.0136995248182989,0.024801130964784,0.318516756107722,0.343317887072506
01:02:00,0.0730336753947911,0,0.0138868775975264,0,0.0138868775975264,0.0257451283969784,0.318435106287333,0.344180234684311
01:03:00,0.073988191141055,0,0.0140821124772279,0,0.0140821124772279,0.0267116151515751,0.318354402386325,0.3450660175379
01:04:00,0.074957030062696,0,0.0142806127514315,0,0.0142806127514315,0.0277009031263374,0.318274665870386,0.345975568996724
01:05:00,0.0759362364161162,0,0.0144816415419674,0,0.0144816415419674,0.0287133133068249,0.318195918502419,0.346909231809244
01:06:00,0.0769258964430866,0,0.0146852304917656,0,0.0146852304917656,0.0297491714019797,0.318118182349084,0.347867353751063
01:07:00,0.0779260968982894,0,0.0148914116845247,0,0.0148914116845247,0.0308088072691958,0.318041479784963,0.348850287054158
01:08:00,0.0789369250511579,0,0.0151002176516945,0,0.0151002176516945,0.0318925549662712,0.317965833496475,0.349858388462746
01:09:00,0.0799584686877188,0,0.0153116813795715,0,0.0153116813795715,0.0330007528040843,0.317891266485836,0.350892019289921
01:10:00,0.0810104838388652,0,0.0155296086071161,0,0.0155296086071161,0.034133743400006,0.317817802075072,0.351951545475078
01:11:00,0.0820929682622172,0,0.0157540320756696,0,0.0157540320756696,0.035291876807352,0.317745463911554,0.353037340718906
01:12:00,0.083187366957609,0,0.0159814191600145,0,0.0159814191600145,0.0364755136446353,0.317674275976555,0.35414978962119
01:13:00,0.0842937831201163,0,0.0162118087447173,0,0.0162118087447173,0.0376850222423485,0.317604262593922,0.35528928483627
01:14:00,0.0854123205977674,0,0.0164452402826509,0,0.0164452402826509,0.0389207757947537,0.317535448436013,0.356456224230767
01:15:00,0.0865430838941572,0,0.0166817538043616,0,0.0166817538043616,0.0401831524237464,0.317467858528288,0.357651010952035
01:16:00,0.0876861781710661,0,0.0169213899275914,0,0.0169213899275914,0.0414725352436519,0.317401518253963,0.358874053497615
01:17:00,0.0888481256540988,0,0.0171654302340511,0,0.0171654302340511,0.0427893124269736,0.317336453358725,0.360125765785698
01:18:00,0.0900617436076822,0,0.017420253205662,0,0.017420253205662,0.0441338782822914,0.317272689955991,0.361406568238283
01:19:00,0.0912891240680833,0,0.0176785712883196,0,0.0176785712883196,0.0455066394989925,0.317210254535698,0.36271689403469
01:20:00,0.0925303913278133,0,0.0179404326227282,0,0.0179404326227282,0.0469080144061666,0.317149173975721,0.364057188381887
01:21:00,0.0937856705162353,0,0.0182058860884972,0,0.0182058860884972,0.0483384270708029,0.317089475550107,0.365427902620909
01:22:00,0.0950550876032832,0,0.018474981316832,0,0.018474981316832,0.0497983073768845,0.317031186934496,0.36682949431138
01:23:00,0.0963387694031907,0,0.0187477687034438,0,0.0187477687034438,0.0512880911056974,0.316974336211624,0.368262427317321
01:24:00,0.0976368435782264,0,0.0190242994216817,0,0.0190242994216817,0.0528082200173758,0.316918951876896,0.369727171894271
01:25:00,0.0989909739667084,0,0.0193127339989536,0,0.0193127339989536,0.0543591419337043,0.31686506284404,0.371224204777745
01:26:00,0.100372971754257,0,0.0196076318332119,0,0.0196076318332119,0.0559413174325605,0.316812698454021,0.372754015886581
01:27:00,0.101771113830646,0,0.0199067408877114,0,0.0199067408877114,0.0575552220652858,0.316761888488226,0.374317110553512
01:28:00,0.103185552163012,0,0.0202101222506939,0,0.0202101222506939,0.0592013400853985,0.316712663179712,0.37591400326511
01:29:00,0.10461643980573,0,0.020517837998099,0,0.020517837998099,0.0608801626624625,0.316665053220561,0.377545215883023
01:30:00,0.106063930905741,0,0.0208299512112772,0,0.0208299512112772,0.0625921879824946,0.316619089768429,0.379211277750924
01:31:00,0.107528180707903,0,0.0211465259950218,0,0.0211465259950218,0.0643379213499966,0.316574804453189,0.380912725803186
01:32:00,0.109035421451673,0,0.021472766312229,0,0.021472766312229,0.0661178752916414,0.31653222938367,0.382650104675312
01:33:00,0.110598707440639,0,0.0218113127033891,0,0.0218113127033891,0.0679325738509718,0.31649139715651,0.384423971007482
01:34:00,0.112180897041709,0,0.0221549054251539,0,0.0221549054251539,0.0697825589834913,0.316452340870144,0.386234899853635
01:35:00,0.113782176586799,0,0.0225036216068595,0,0.0225036216068595,0.0716683867909418,0.316415094140058,0.388083480931
01:36:00,0.115402733829813,0,0.0228575396913891,0,0.0228575396913891,0.0735906216658054,0.316379691109402,0.389970312775208
01:37:00,0.117042757954353,0,0.0232167394598275,0,0.0232167394598275,0.075549836418132,0.316346166456856,0.391896002874988
01:38:00,0.11870243958144,0,0.0235813020565798,0,0.0235813020565798,0.0775466124045285,0.316314555404601,0.393861167809129
01:39:00,0.120385127486926,0,0.0239519385568887,0,0.0239519385568887,0.0795815396593506,0.31628489372643,0.39586643338578
01:40:00,0.122163115220973,0,0.0243431151012912,0,0.0243431151012912,0.0816552175405454,0.316257217756216,0.397912435296762
01:41:00,0.123963428412575,0,0.0247403969305094,0,0.0247403969305094,0.0837682671026062,0.316231564402648,0.399999831505254
01:42:00,0.125786298211115,0,0.0251438826136925,0,0.0251438826136925,0.0859213311221554,0.316207971169914,0.402129302292069
01:43:00,0.127631957652207,0,0.0255536724922355,0,0.0255536724922355,0.0881150624106209,0.31618647617278,0.4043015385834
01:44:00,0.129500641668962,0,0.0259698687146975,0,0.0259698687146975,0.0903501239763948,0.316167118146114,0.406517242122509
01:45:00,0.131392587103311,0,0.0263925752724092,0,0.0263925752724092,0.0926271891899096,0.316149936454568,0.408777125644478
01:46:00,0.133308032717356,0,0.026821898035783,0,0.026821898035783,0.0949469419516901,0.316134971102413,0.411081913054104
01:47:00,0.135312289680175,0,0.0272710703223582,0,0.0272710703223582,0.0973100768634392,0.31612226274354,0.41343233960698
01:48:00,0.137374310029866,0,0.0277339695873431,0,0.0277339695873431,0.0997173101025734,0.316111852696763,0.415829162799336
01:49:00,0.139463265619055,0,0.0282044676579132,0,0.0282044676579132,0.102169385219153,0.316103782969138,0.418273168188291
01:50:00,0.141579449918508,0,0.028682694788421,0,0.028682694788421,0.104667063148702,0.31609809627726,0.420765159425962
01:51:00,0.143723158963202,0,0.0291687837174287,0,0.0291687837174287,0.107211117322516,0.316094836061395,0.423305953383911
01:52:00,0.145894691369222,0,0.0296628697192833,0,0.0296628697192833,0.109802333882058,0.316094046497362,0.42589638037942
01:53:00,0.148094348350724,0,0.0301650906567646,0,0.0301650906567646,0.112441511897452,0.316095772508616,0.428537284406068
01:54:00,0.150359700961311,0,0.0306831990585798,0,0.0306831990585798,0.115129463590156,0.316100059778545,0.431229523368702
01:55:00,0.152740543787108,0,0.0312275229065286,0,0.0312275229065286,0.117867020765461,0.316106954765956,0.433973975531417
01:56:00,0.15515397545729,0,0.031781284525364,0,0.031781284525364,0.120655049552302,0.316116504730743,0.436771554283046
01:57:00,0.157600372392951,0,0.0323446560850414,0,0.0323446560850414,0.123494445145266,0.316128757764106,0.439623202909373
01:58:00,0.160080114561925,0,0.03291781324698,0,0.03291781324698,0.126386118267247,0.316143762809717,0.442529881076964
01:59:00,0.162593585504683,0,0.033500935240811,0,0.033500935240811,0.129330995453007,0.31616156967851,0.445492565131517
02:00:00,0.165141172360369,0,0.0340942049428168,0,0.0340942049428168,0.132330019338499,0.316182229063738,0.448512248402237
02:01:00,0.167723265892976,0,0.0346978089560987,0,0.0346978089560987,0.135384148956066,0.316205792556309,0.451589941512375
02:02:00,0.170490451934248,0,0.0353431050707167,0,0.0353431050707167,0.13849436003565,0.316232312660401,0.454726672696051
02:03:00,0.173307383975194,0,0.0360023215893386,0,0.0360023215893386,0.141661670720799,0.316261842821588,0.457923513542388
02:04:00,0.176164906350248,0,0.036673697017471,0,0.036673697017471,0.144887144492164,0.316294437468724,0.461181581960889
02:05:00,0.179063518525769,0,0.0373574692269566,0,0.0373574692269566,0.14817186609109,0.316330152045643,0.464502018136733
02:06:00,0.182003725067374,0,0.0380538812561053,0,0.0380538812561053,0.151516940277512,0.316369043030673,0.467885983308185
02:07:00,0.184986035681346,0,0.0387631814307174,0,0.0387631814307174,0.154923492222006,0.316411167955734,0.47133466017774
02:08:00,0.188010965256311,0,0.0394856234879526,0,0.0394856234879526,0.158392667906368,0.316456585425812,0.47484925333218
02:09:00,0.191201698355306,0,0.0402473167642672,0,0.0402473167642672,0.161925634532908,0.316505355138815,0.478430989671723
02:10:00,0.194533430658398,0,0.0410434167488441,0,0.0410434167488441,0.165523602016479,0.316557537915955,0.482081139932434
02:11:00,0.197916269761702,0,0.0418552495212312,0,0.0418552495212312,0.169187840320244,0.316613195750793,0.485801036071037
02:12:00,0.201350893449388,0,0.0426831470024664,0,0.0426831470024664,0.172919660282695,0.316672391857383,0.489592052140078
02:13:00,0.204837987092254,0,0.043527448881785,0,0.043527448881785,0.176720398664669,0.316735190701989,0.493455589366659
02:14:00,0.208378243717022,0,0.0443885028122154,0,0.0443885028122154,0.180591418696861,0.316801658027864,0.497393076724725
02:15:00,0.211972364076113,0,0.0452666646111287,0,0.0452666646111287,0.184534110640168,0.316871860880553,0.501405971520721
02:16:00,0.215682638088907,0,0.0461754991943327,0,0.0461754991943327,0.188549892359185,0.316945867633735,0.50549575999292
02:17:00,0.219694496444559,0,0.0471552141429075,0,0.0471552141429075,0.192640220670831,0.317023748020784,0.509663968691615
02:18:00,0.223772713474196,0,0.0481559079223914,0,0.0481559079223914,0.196806635181418,0.317105573192871,0.513912208374289
02:19:00,0.227918250636639,0,0.0491780630044586,0,0.0491780630044586,0.20105075038383,0.317191415794312,0.518242166178142
02:20:00,0.232132081356315,0,0.0502221741643069,0,0.0502221741643069,0.205374215369511,0.317281350014728,0.522655565384239
02:21:00,0.236415191147813,0,0.0512887488177752,0,0.0512887488177752,0.209778714625151,0.317375451622184,0.527154166247335
02:22:00,0.240768577741492,0,0.0523783073677864,0,0.0523783073677864,0.214265968849702,0.317473797997107,0.53173976684681
02:23:00,0.245193251210135,0,0.0534913835603645,0,0.0534913835603645,0.218837735792292,0.31757646816698,0.536414203959272
02:24:00,0.250075859602043,0,0.0547130158077545,0,0.0547130158077545,0.223495811111597,0.317683542841839,0.541179353953436
02:25:00,0.255122492499359,0,0.0559799454492525,0,0.0559799454492525,0.22824209813702,0.317795104483727,0.546037202620747
02:26:00,0.260260712136899,0,0.0572768186937102,0,0.0572768186937102,0.233078625624242,0.317911237418214,0.550989863042455
02:27:00,0.265491995244177,0,0.058604400601184,0,0.058604400601184,0.238007483667824,0.31803202792358,0.556039511591405
02:28:00,0.270817839383816,0,0.0599634778971994,0,0.0599634778971994,0.243030811808008,0.318157564283454,0.561188376091463
02:29:00,0.276239763203617,0,0.0613548596311038,0,0.0613548596311038,0.248150800295777,0.318287936834303,0.56643873713008
02:30:00,0.281759306691168,0,0.0627793778546874,0,0.0627793778546874,0.253369691393783,0.318423238014154,0.571792929407936
02:31:00,0.287736292196493,0,0.0643181009027586,0,0.0643181009027586,0.258689780714228,0.31856356241256,0.577253343126788
02:32:00,0.294241754914439,0,0.0659885734703895,0,0.0659885734703895,0.264113483986693,0.318709006853311,0.582822490840004
02:33:00,0.300881212742363,0,0.0677037551562676,0,0.0677037551562676,0.269643417450648,0.318859670547879,0.588503087998527
02:34:00,0.307657157106792,0,0.0694649464886752,0,0.0694649464886752,0.275282341200321,0.319015655260229,0.59429799646055
02:35:00,0.314572120785312,0,0.0712734899819564,0,0.0712734899819564,0.281033089286792,0.31917706541072,0.600210154697511
02:36:00,0.321628678510672,0,0.0731307715947574,0,0.0731307715947574,0.28689857187269,0.319344008147379,0.606242580020069
02:37:00,0.328829447582516,0,0.0750382222399331,0,0.0750382222399331,0.292881777456532,0.319516593419279,0.612398370875811
