lamp_type_lupvalue,lamp_rating_w,Latitude,Longitude
9.0,,-37.82238342,144.9453437
,,-37.82498801,144.9471012
,,-37.81828902,144.9448057
9.0,,-37.82264739,144.9464286
,,-37.81423593,144.9431195
,,-37.82001815,144.9670356
3.0,21.0,-37.82460553,144.9455066
1.0,,-37.8176383,144.9497072
9.0,200.0,-37.82018684,144.9599969
12.0,,-37.82278622,144.947094
,,-37.81427651,144.9431989
12.0,,-37.82286204,144.9471575
5.0,35.0,-37.81530156,144.940601
1.0,50.0,-37.81529455,144.9443182
9.0,,-37.82276283,144.9467971
9.0,,-37.81847428,144.9737912
2.0,14.0,-37.82291684,144.951489
5.0,70.0,-37.82434149,144.9454199
3.0,14.0,-37.81984996,144.9651307
5.0,70.0,-37.81515109,144.9416441
1.0,,-37.81778342,144.9506808
13.0,35.0,-37.82306673,144.9472674
9.0,,-37.82265396,144.9464296
,14.0,-37.78683181,144.9418659
13.0,70.0,-37.81867616,144.9460398
9.0,,-37.78690633,144.9416803
5.0,70.0,-37.82436918,144.9447245
12.0,,-37.8238602,144.9473836
2.0,125.0,-37.81982241,144.9649832
1.0,,-37.81548361,144.9398087
9.0,,-37.81534921,144.9410756
13.0,14.0,-37.82023028,144.9463606
13.0,14.0,-37.82144433,144.9616022
5.0,70.0,-37.82018561,144.9499142
9.0,,-37.81900773,144.9731331
9.0,,-37.81019864,144.9642014
5.0,70.0,-37.82509656,144.9470624
9.0,,-37.81917403,144.9434721
5.0,70.0,-37.82423879,144.9444735
,,-37.81932077,144.9645397
5.0,70.0,-37.82489405,144.9455058
,,-37.81395786,144.9441765
1.0,,-37.82100161,144.9327041
1.0,20.0,-37.81316032,144.9420403
5.0,70.0,-37.82402729,144.947923
13.0,70.0,-37.81982688,144.9519121
,,-37.82392695,144.9519949
13.0,70.0,-37.82008014,144.9655014
12.0,,-37.82386564,144.9471638
13.0,70.0,-37.82512735,144.9473397
13.0,14.0,-37.82020803,144.9463338
9.0,,-37.7869362,144.941485
,,-37.81657317,144.9851306
9.0,,-37.81901515,144.9730647
1.0,50.0,-37.82509783,144.9462426
9.0,,-37.81923679,144.9744071
9.0,,-37.8109505,144.9668071
3.0,36.0,-37.81777782,144.9492066
13.0,100.0,-37.81943573,144.9610081
9.0,10.0,-37.82394834,144.9474326
9.0,,-37.81553067,144.9399944
9.0,,-37.82273868,144.9468052
9.0,,-37.82267674,144.9462176
,,-37.82379907,144.952115
9.0,,-37.81031345,144.964036
5.0,70.0,-37.82476009,144.9470927
1.0,,-37.81447375,144.9428757
9.0,,-37.81460723,144.9426712
13.0,14.0,-37.81083183,144.9670511
5.0,70.0,-37.81934832,144.9535843
,,-37.82351068,144.9519807
9.0,,-37.81479439,144.9417221
9.0,,-37.8097564,144.9735367
3.0,36.0,-37.81759956,144.9503119
,,-37.82465928,144.9456864
13.0,35.0,-37.82375857,144.9474134
13.0,14.0,-37.81084031,144.9672604
13.0,14.0,-37.81084772,144.9670592
,100.0,-37.81990399,144.9606621
