feature,condition_rating,Latitude,Longitude
Bicycle Rails,3.03,-37.823567504792024,144.9813176109012
Bicycle Rails,2.86,-37.811744973536825,144.98372259427148
Bicycle Rails,3.03,-37.823920382346195,144.98404599402022
Bicycle Rails,3.03,-37.823914642651566,144.98400025180305
Bollard,1.0,-37.814201229714556,144.95970964268264
Litter Bin,4.0,-37.82465860882282,144.97790692879386
Bicycle Rails,3.03,-37.82391862872637,144.98402252448506
Bicycle Rails,3.0,-37.830373035246645,144.97466046707947
Bicycle Rails,2.99,-37.82822299735338,144.96841446174298
Bicycle Rails,2.99,-37.82821497292157,144.96841945372168
Bicycle Rails,2.99,-37.828203905474204,144.96842043897868
Bollard,1.25,-37.797692997184775,144.96898250595586
Bicycle Rails,3.02,-37.82410799674213,144.96067039874526
Bicycle Rails,3.16,-37.818493508517165,144.96810405159158
Bollard,1.25,-37.79746181281717,144.96902245457724
Bicycle Rails,3.16,-37.818502723657886,144.96811061496712
Bicycle Rails,3.16,-37.818484144578015,144.96809930991907
Bicycle Rails,3.16,-37.81847389360544,144.96809538778183
Bicycle Rails,3.16,-37.818465457848596,144.96809221107603
Bollard,1.9,-37.808975253510994,144.96819644423164
Bollard,1.0,-37.775532400597726,144.93965832390933
Bicycle Rails,3.03,-37.805387953848346,144.95255231969134
Bicycle Rails,3.15,-37.80105602558951,144.96250374742104
Bicycle Rails,3.15,-37.801130560732076,144.96221253821966
Bicycle Rails,3.15,-37.801476484745635,144.96215305733202
Hoop,4.0,-37.78250773314448,144.9538092042229
Bicycle Rails,2.95,-37.80382763990388,144.96174076468324
Bicycle Rails,2.95,-37.803220871520466,144.96246946615054
Bollard,1.25,-37.797474852435045,144.96896338220594
Bollard,1.0,-37.77553040732028,144.93964225728865
Bollard,3.0,-37.78310663078073,144.96324432915188
Bicycle Rails,2.95,-37.80323329001635,144.96257781880982
Bicycle Rails,3.15,-37.80089599164918,144.9637498524514
Bicycle Rails,3.15,-37.800878846212434,144.9637537305622
Bicycle Rails,3.17,-37.79812283428532,144.96726786278435
Bicycle Rails,3.17,-37.7981101513119,144.9672692326041
Bicycle Rails,3.1,-37.796988552379794,144.96699300393126
Bicycle Rails,3.1,-37.796985744100496,144.96697127580896
Bicycle Rails,3.08,-37.799164092842396,144.97007031835608
Bicycle Rails,3.08,-37.7991467572136,144.97007363224677
Bollard,1.0,-37.7755284160257,144.93962630414876
Bollard,1.0,-37.77552644060933,144.93961125884837
Bicycle Rails,3.13,-37.81539275820078,144.97225049558918
Bicycle Rails,3.16,-37.81244615069557,144.96210636053326
Bicycle Rails,3.16,-37.81248118966625,144.96197522061686
Bicycle Rails,3.12,-37.81327540210558,144.95444510018854
Bicycle Rails,3.12,-37.81323668331392,144.95442617653566
Bicycle Rails,2.13,-37.8161865536237,144.98449814930157
Bicycle Rails,3.13,-37.816187814615475,144.984513905136
Bollard,2.99,-37.813318024520036,144.9725514909976
Bollard,1.25,-37.79748387925121,144.96903740915536
Bollard,1.0,-37.77552444931061,144.93959530571036
Bicycle Rails,2.99,-37.8242199579573,144.97023158028037
Bicycle Rails,2.99,-37.82420961305762,144.9702274329322
Bicycle Rails,3.06,-37.845447803006046,144.98238081965118
Bicycle Rails,3.06,-37.84545291173185,144.98242125095064
Bollard,2.9,-37.809006736818475,144.96820875727258
Bicycle Rails,3.17,-37.81579510023237,144.96521724814568
Bicycle Rails,3.17,-37.8157921340163,144.96522812132244
Bicycle Rails,3.09,-37.81443036389409,144.9662868459049
Bicycle Rails,3.09,-37.81442338172545,144.96631043809816
Bicycle Rails,3.14,-37.805082158647515,144.9490707794334
Bicycle Rails,3.14,-37.805077698221396,144.94908373742305
Bollard,1.25,-37.79750288350422,144.96895841236648
Bicycle Rails,3.12,-37.81018125518041,144.96674773001587
Bicycle Rails,3.1,-37.81081217690643,144.96688388119335
Bicycle Rails,3.1,-37.81082711668822,144.96683576376458
Bicycle Rails,4.12,-37.80832823447989,144.96620382661513
Bicycle Rails,3.02,-37.781704116007674,144.95790921149333
Bicycle Rails,3.02,-37.78171026034028,144.9579985156295
Bicycle Rails,2.95,-37.796661043155254,144.9673990160859
Bicycle Rails,3.11,-37.800863406174344,144.97029285169478
Bicycle Rails,3.11,-37.820090877137254,144.95727312161543
Bicycle Rails,4.16,-37.81119125843525,144.96445583109985
