Cluster,Dur_bins,Variable,Mean,Duration,Profile_shape,Cluster_id
4,0.208333333,prain,0.109614311,[19:25 - Inf) hr,F1,4-D
4,0.208333333,irain,1.315371736,[19:25 - Inf) hr,F1,4-D
4,0.333333333,crain,0.408202791,[19:25 - Inf) hr,F1,4-D
4,0.291666667,prain,0.157098496,[19:25 - Inf) hr,F1,4-D
4,0.291666667,irain,1.885181955,[19:25 - Inf) hr,F1,4-D
4,0.416666667,crain,0.553100248,[19:25 - Inf) hr,F1,4-D
4,0.375,prain,0.144897457,[19:25 - Inf) hr,F1,4-D
4,0.375,irain,1.738769486,[19:25 - Inf) hr,F1,4-D
4,0.5,crain,0.648880082,[19:25 - Inf) hr,F1,4-D
4,0.458333333,prain,0.095779834,[19:25 - Inf) hr,F1,4-D
4,0.458333333,irain,1.149358008,[19:25 - Inf) hr,F1,4-D
4,0.583333333,crain,0.725066429,[19:25 - Inf) hr,F1,4-D
4,0.541666667,prain,0.076186348,[19:25 - Inf) hr,F1,4-D
4,0.541666667,irain,0.914236171,[19:25 - Inf) hr,F1,4-D
4,0.666666667,crain,0.799771022,[19:25 - Inf) hr,F1,4-D
4,0.625,prain,0.074704593,[19:25 - Inf) hr,F1,4-D
4,0.625,irain,0.896455115,[19:25 - Inf) hr,F1,4-D
4,0.75,crain,0.863067105,[19:25 - Inf) hr,F1,4-D
4,0.708333333,prain,0.063296083,[19:25 - Inf) hr,F1,4-D
4,0.708333333,irain,0.759552996,[19:25 - Inf) hr,F1,4-D
4,0.833333333,crain,0.918426999,[19:25 - Inf) hr,F1,4-D
4,0.791666667,prain,0.055359894,[19:25 - Inf) hr,F1,4-D
4,0.791666667,irain,0.664318725,[19:25 - Inf) hr,F1,4-D
4,0.916666667,crain,0.967162142,[19:25 - Inf) hr,F1,4-D
4,0.875,prain,0.048735143,[19:25 - Inf) hr,F1,4-D
4,0.875,irain,0.584821714,[19:25 - Inf) hr,F1,4-D
4,1,crain,1,[19:25 - Inf) hr,F1,4-D
4,0.958333333,prain,0.032837858,[19:25 - Inf) hr,F1,4-D
4,0.958333333,irain,0.394054297,[19:25 - Inf) hr,F1,4-D
5,0.083333333,crain,0.0436871,[19:25 - Inf) hr,B2,5-D
5,0.041666667,prain,0.0436871,[19:25 - Inf) hr,B2,5-D
5,0.041666667,irain,0.524245205,[19:25 - Inf) hr,B2,5-D
5,0.166666667,crain,0.095604924,[19:25 - Inf) hr,B2,5-D
5,0.125,prain,0.051917824,[19:25 - Inf) hr,B2,5-D
5,0.125,irain,0.623013885,[19:25 - Inf) hr,B2,5-D
5,0.25,crain,0.106029846,[19:25 - Inf) hr,B2,5-D
5,0.208333333,prain,0.010424922,[19:25 - Inf) hr,B2,5-D
5,0.208333333,irain,0.125099065,[19:25 - Inf) hr,B2,5-D
5,0.333333333,crain,0.121143747,[19:25 - Inf) hr,B2,5-D
5,0.291666667,prain,0.015113901,[19:25 - Inf) hr,B2,5-D
5,0.291666667,irain,0.181366807,[19:25 - Inf) hr,B2,5-D
5,0.416666667,crain,0.133871149,[19:25 - Inf) hr,B2,5-D
5,0.375,prain,0.012727402,[19:25 - Inf) hr,B2,5-D
5,0.375,irain,0.152728821,[19:25 - Inf) hr,B2,5-D
5,0.5,crain,0.147497839,[19:25 - Inf) hr,B2,5-D
5,0.458333333,prain,0.01362669,[19:25 - Inf) hr,B2,5-D
5,0.458333333,irain,0.163520279,[19:25 - Inf) hr,B2,5-D
5,0.583333333,crain,0.168724997,[19:25 - Inf) hr,B2,5-D
5,0.541666667,prain,0.021227159,[19:25 - Inf) hr,B2,5-D
5,0.541666667,irain,0.254725906,[19:25 - Inf) hr,B2,5-D
5,0.666666667,crain,0.198296811,[19:25 - Inf) hr,B2,5-D
5,0.625,prain,0.029571814,[19:25 - Inf) hr,B2,5-D
5,0.625,irain,0.354861764,[19:25 - Inf) hr,B2,5-D
5,0.75,crain,0.238514303,[19:25 - Inf) hr,B2,5-D
5,0.708333333,prain,0.040217492,[19:25 - Inf) hr,B2,5-D
5,0.708333333,irain,0.482609902,[19:25 - Inf) hr,B2,5-D
5,0.833333333,crain,0.340440017,[19:25 - Inf) hr,B2,5-D
5,0.791666667,prain,0.101925714,[19:25 - Inf) hr,B2,5-D
5,0.791666667,irain,1.223108566,[19:25 - Inf) hr,B2,5-D
5,0.916666667,crain,0.673510718,[19:25 - Inf) hr,B2,5-D
5,0.875,prain,0.333070702,[19:25 - Inf) hr,B2,5-D
5,0.875,irain,3.996848421,[19:25 - Inf) hr,B2,5-D
5,1,crain,1,[19:25 - Inf) hr,B2,5-D
5,0.958333333,prain,0.326489282,[19:25 - Inf) hr,B2,5-D
5,0.958333333,irain,3.917871378,[19:25 - Inf) hr,B2,5-D
6,0.083333333,crain,0.029940536,[19:25 - Inf) hr,B1,6-D
6,0.041666667,prain,0.029940536,[19:25 - Inf) hr,B1,6-D
6,0.041666667,irain,0.359286434,[19:25 - Inf) hr,B1,6-D
6,0.166666667,crain,0.068480245,[19:25 - Inf) hr,B1,6-D
6,0.125,prain,0.038539708,[19:25 - Inf) hr,B1,6-D
6,0.125,irain,0.462476501,[19:25 - Inf) hr,B1,6-D
6,0.25,crain,0.118363723,[19:25 - Inf) hr,B1,6-D
6,0.208333333,prain,0.049883479,[19:25 - Inf) hr,B1,6-D
6,0.208333333,irain,0.598601744,[19:25 - Inf) hr,B1,6-D
6,0.333333333,crain,0.183548893,[19:25 - Inf) hr,B1,6-D
6,0.291666667,prain,0.06518517,[19:25 - Inf) hr,B1,6-D
6,0.291666667,irain,0.782222037,[19:25 - Inf) hr,B1,6-D
6,0.416666667,crain,0.257748944,[19:25 - Inf) hr,B1,6-D
6,0.375,prain,0.074200051,[19:25 - Inf) hr,B1,6-D
6,0.375,irain,0.890400612,[19:25 - Inf) hr,B1,6-D
6,0.5,crain,0.346616269,[19:25 - Inf) hr,B1,6-D
6,0.458333333,prain,0.088867325,[19:25 - Inf) hr,B1,6-D
6,0.458333333,irain,1.066407894,[19:25 - Inf) hr,B1,6-D
6,0.583333333,crain,0.463307904,[19:25 - Inf) hr,B1,6-D
6,0.541666667,prain,0.116691635,[19:25 - Inf) hr,B1,6-D
6,0.541666667,irain,1.400299626,[19:25 - Inf) hr,B1,6-D
6,0.666666667,crain,0.626891754,[19:25 - Inf) hr,B1,6-D
6,0.625,prain,0.16358385,[19:25 - Inf) hr,B1,6-D
6,0.625,irain,1.963006194,[19:25 - Inf) hr,B1,6-D
6,0.75,crain,0.786509065,[19:25 - Inf) hr,B1,6-D
6,0.708333333,prain,0.159617312,[19:25 - Inf) hr,B1,6-D
6,0.708333333,irain,1.915407743,[19:25 - Inf) hr,B1,6-D
6,0.833333333,crain,0.892888063,[19:25 - Inf) hr,B1,6-D
6,0.791666667,prain,0.106378998,[19:25 - Inf) hr,B1,6-D
6,0.791666667,irain,1.276547972,[19:25 - Inf) hr,B1,6-D
6,0.916666667,crain,0.95445189,[19:25 - Inf) hr,B1,6-D
6,0.875,prain,0.061563827,[19:25 - Inf) hr,B1,6-D
6,0.875,irain,0.738765926,[19:25 - Inf) hr,B1,6-D
6,1,crain,1,[19:25 - Inf) hr,B1,6-D
6,0.958333333,prain,0.04554811,[19:25 - Inf) hr,B1,6-D
6,0.958333333,irain,0.546577317,[19:25 - Inf) hr,B1,6-D
7,0.083333333,crain,0.136738265,[19:25 - Inf) hr,F2,7-D
7,0.041666667,prain,0.136738265,[19:25 - Inf) hr,F2,7-D
7,0.041666667,irain,1.640859183,[19:25 - Inf) hr,F2,7-D
7,0.166666667,crain,0.296116433,[19:25 - Inf) hr,F2,7-D
7,0.125,prain,0.159378168,[19:25 - Inf) hr,F2,7-D
7,0.125,irain,1.912538013,[19:25 - Inf) hr,F2,7-D
7,0.25,crain,0.405733392,[19:25 - Inf) hr,F2,7-D
7,0.208333333,prain,0.109616959,[19:25 - Inf) hr,F2,7-D
7,0.208333333,irain,1.315403508,[19:25 - Inf) hr,F2,7-D
7,0.333333333,crain,0.478023059,[19:25 - Inf) hr,F2,7-D
7,0.291666667,prain,0.072289667,[19:25 - Inf) hr,F2,7-D
7,0.291666667,irain,0.867476003,[19:25 - Inf) hr,F2,7-D
7,0.416666667,crain,0.538159453,[19:25 - Inf) hr,F2,7-D
7,0.375,prain,0.060136394,[19:25 - Inf) hr,F2,7-D
7,0.375,irain,0.72163673,[19:25 - Inf) hr,F2,7-D
7,0.5,crain,0.599501829,[19:25 - Inf) hr,F2,7-D
7,0.458333333,prain,0.061342376,[19:25 - Inf) hr,F2,7-D
7,0.458333333,irain,0.736108507,[19:25 - Inf) hr,F2,7-D
7,0.583333333,crain,0.671014083,[19:25 - Inf) hr,F2,7-D
7,0.541666667,prain,0.071512254,[19:25 - Inf) hr,F2,7-D
7,0.541666667,irain,0.858147053,[19:25 - Inf) hr,F2,7-D
7,0.666666667,crain,0.734098416,[19:25 - Inf) hr,F2,7-D
7,0.625,prain,0.063084333,[19:25 - Inf) hr,F2,7-D
7,0.625,irain,0.757011994,[19:25 - Inf) hr,F2,7-D
7,0.75,crain,0.801334172,[19:25 - Inf) hr,F2,7-D
7,0.708333333,prain,0.067235756,[19:25 - Inf) hr,F2,7-D
7,0.708333333,irain,0.806829071,[19:25 - Inf) hr,F2,7-D
7,0.833333333,crain,0.876883387,[19:25 - Inf) hr,F2,7-D
7,0.791666667,prain,0.075549216,[19:25 - Inf) hr,F2,7-D
7,0.791666667,irain,0.906590588,[19:25 - Inf) hr,F2,7-D
7,0.916666667,crain,0.948255919,[19:25 - Inf) hr,F2,7-D
7,0.875,prain,0.071372532,[19:25 - Inf) hr,F2,7-D
7,0.875,irain,0.856470384,[19:25 - Inf) hr,F2,7-D
7,1,crain,1,[19:25 - Inf) hr,F2,7-D
7,0.958333333,prain,0.051744081,[19:25 - Inf) hr,F2,7-D
7,0.958333333,irain,0.620928969,[19:25 - Inf) hr,F2,7-D
8,0.083333333,crain,0.035844759,[19:25 - Inf) hr,B2,8-D
8,0.041666667,prain,0.035844759,[19:25 - Inf) hr,B2,8-D
8,0.041666667,irain,0.43013711,[19:25 - Inf) hr,B2,8-D
8,0.166666667,crain,0.068161724,[19:25 - Inf) hr,B2,8-D
8,0.125,prain,0.032316965,[19:25 - Inf) hr,B2,8-D
8,0.125,irain,0.387803577,[19:25 - Inf) hr,B2,8-D
8,0.25,crain,0.107459794,[19:25 - Inf) hr,B2,8-D
8,0.208333333,prain,0.03929807,[19:25 - Inf) hr,B2,8-D
8,0.208333333,irain,0.471576846,[19:25 - Inf) hr,B2,8-D
8,0.333333333,crain,0.159000861,[19:25 - Inf) hr,B2,8-D
8,0.291666667,prain,0.051541067,[19:25 - Inf) hr,B2,8-D
8,0.291666667,irain,0.618492799,[19:25 - Inf) hr,B2,8-D
8,0.416666667,crain,0.214186925,[19:25 - Inf) hr,B2,8-D
8,0.375,prain,0.055186064,[19:25 - Inf) hr,B2,8-D
8,0.375,irain,0.662232764,[19:25 - Inf) hr,B2,8-D
8,0.5,crain,0.275368305,[19:25 - Inf) hr,B2,8-D
8,0.458333333,prain,0.06118138,[19:25 - Inf) hr,B2,8-D
8,0.458333333,irain,0.734176558,[19:25 - Inf) hr,B2,8-D
8,0.583333333,crain,0.329002352,[19:25 - Inf) hr,B2,8-D
8,0.541666667,prain,0.053634047,[19:25 - Inf) hr,B2,8-D
8,0.541666667,irain,0.643608565,[19:25 - Inf) hr,B2,8-D
8,0.666666667,crain,0.390220446,[19:25 - Inf) hr,B2,8-D
8,0.625,prain,0.061218095,[19:25 - Inf) hr,B2,8-D
8,0.625,irain,0.734617136,[19:25 - Inf) hr,B2,8-D
8,0.75,crain,0.491015664,[19:25 - Inf) hr,B2,8-D
8,0.708333333,prain,0.100795217,[19:25 - Inf) hr,B2,8-D
8,0.708333333,irain,1.209542609,[19:25 - Inf) hr,B2,8-D
8,0.833333333,crain,0.655353073,[19:25 - Inf) hr,B2,8-D
8,0.791666667,prain,0.164337409,[19:25 - Inf) hr,B2,8-D
8,0.791666667,irain,1.972048912,[19:25 - Inf) hr,B2,8-D
8,0.916666667,crain,0.863038332,[19:25 - Inf) hr,B2,8-D
8,0.875,prain,0.207685259,[19:25 - Inf) hr,B2,8-D
8,0.875,irain,2.492223112,[19:25 - Inf) hr,B2,8-D
8,1,crain,1,[19:25 - Inf) hr,B2,8-D
8,0.958333333,prain,0.136961668,[19:25 - Inf) hr,B2,8-D
8,0.958333333,irain,1.643540011,[19:25 - Inf) hr,B2,8-D
9,0.083333333,crain,0.027632452,[19:25 - Inf) hr,B1,9-D
9,0.041666667,prain,0.027632452,[19:25 - Inf) hr,B1,9-D
9,0.041666667,irain,0.331589424,[19:25 - Inf) hr,B1,9-D
9,0.166666667,crain,0.05566842,[19:25 - Inf) hr,B1,9-D
9,0.125,prain,0.028035968,[19:25 - Inf) hr,B1,9-D
9,0.125,irain,0.336431617,[19:25 - Inf) hr,B1,9-D
9,0.25,crain,0.080807623,[19:25 - Inf) hr,B1,9-D
9,0.208333333,prain,0.025139203,[19:25 - Inf) hr,B1,9-D
9,0.208333333,irain,0.301670436,[19:25 - Inf) hr,B1,9-D
9,0.333333333,crain,0.103837837,[19:25 - Inf) hr,B1,9-D
9,0.291666667,prain,0.023030214,[19:25 - Inf) hr,B1,9-D
9,0.291666667,irain,0.276362568,[19:25 - Inf) hr,B1,9-D
9,0.416666667,crain,0.140364374,[19:25 - Inf) hr,B1,9-D
9,0.375,prain,0.036526537,[19:25 - Inf) hr,B1,9-D
9,0.375,irain,0.438318443,[19:25 - Inf) hr,B1,9-D
9,0.5,crain,0.191326624,[19:25 - Inf) hr,B1,9-D
9,0.458333333,prain,0.05096225,[19:25 - Inf) hr,B1,9-D
9,0.458333333,irain,0.611547006,[19:25 - Inf) hr,B1,9-D
9,0.583333333,crain,0.281290796,[19:25 - Inf) hr,B1,9-D
9,0.541666667,prain,0.089964172,[19:25 - Inf) hr,B1,9-D
9,0.541666667,irain,1.079570059,[19:25 - Inf) hr,B1,9-D
9,0.666666667,crain,0.437332588,[19:25 - Inf) hr,B1,9-D
9,0.625,prain,0.156041792,[19:25 - Inf) hr,B1,9-D
9,0.625,irain,1.8725015,[19:25 - Inf) hr,B1,9-D
9,0.75,crain,0.644798429,[19:25 - Inf) hr,B1,9-D
9,0.708333333,prain,0.207465841,[19:25 - Inf) hr,B1,9-D
9,0.708333333,irain,2.489590091,[19:25 - Inf) hr,B1,9-D
9,0.833333333,crain,0.808342323,[19:25 - Inf) hr,B1,9-D
9,0.791666667,prain,0.163543895,[19:25 - Inf) hr,B1,9-D
9,0.791666667,irain,1.962526737,[19:25 - Inf) hr,B1,9-D
9,0.916666667,crain,0.92186455,[19:25 - Inf) hr,B1,9-D
9,0.875,prain,0.113522227,[19:25 - Inf) hr,B1,9-D
9,0.875,irain,1.362266721,[19:25 - Inf) hr,B1,9-D
9,1,crain,1,[19:25 - Inf) hr,B1,9-D
9,0.958333333,prain,0.07813545,[19:25 - Inf) hr,B1,9-D
9,0.958333333,irain,0.937625398,[19:25 - Inf) hr,B1,9-D
10,0.083333333,crain,0.193391912,[19:25 - Inf) hr,F2,10-D
10,0.041666667,prain,0.193391912,[19:25 - Inf) hr,F2,10-D
10,0.041666667,irain,2.320702946,[19:25 - Inf) hr,F2,10-D
10,0.166666667,crain,0.450574181,[19:25 - Inf) hr,F2,10-D
10,0.125,prain,0.257182269,[19:25 - Inf) hr,F2,10-D
10,0.125,irain,3.086187223,[19:25 - Inf) hr,F2,10-D
10,0.25,crain,0.602893053,[19:25 - Inf) hr,F2,10-D
10,0.208333333,prain,0.152318872,[19:25 - Inf) hr,F2,10-D
10,0.208333333,irain,1.827826465,[19:25 - Inf) hr,F2,10-D
10,0.333333333,crain,0.677349676,[19:25 - Inf) hr,F2,10-D
10,0.291666667,prain,0.074456623,[19:25 - Inf) hr,F2,10-D
10,0.291666667,irain,0.893479476,[19:25 - Inf) hr,F2,10-D
10,0.416666667,crain,0.741702852,[19:25 - Inf) hr,F2,10-D
10,0.375,prain,0.064353176,[19:25 - Inf) hr,F2,10-D
10,0.375,irain,0.772238117,[19:25 - Inf) hr,F2,10-D
10,0.5,crain,0.782897128,[19:25 - Inf) hr,F2,10-D
10,0.458333333,prain,0.041194276,[19:25 - Inf) hr,F2,10-D
10,0.458333333,irain,0.49433131,[19:25 - Inf) hr,F2,10-D
10,0.583333333,crain,0.825839532,[19:25 - Inf) hr,F2,10-D
10,0.541666667,prain,0.042942403,[19:25 - Inf) hr,F2,10-D
10,0.541666667,irain,0.51530884,[19:25 - Inf) hr,F2,10-D
10,0.666666667,crain,0.863058753,[19:25 - Inf) hr,F2,10-D
10,0.625,prain,0.037219222,[19:25 - Inf) hr,F2,10-D
10,0.625,irain,0.44663066,[19:25 - Inf) hr,F2,10-D
10,0.75,crain,0.902017607,[19:25 - Inf) hr,F2,10-D
10,0.708333333,prain,0.038958854,[19:25 - Inf) hr,F2,10-D
10,0.708333333,irain,0.467506251,[19:25 - Inf) hr,F2,10-D
10,0.833333333,crain,0.939499302,[19:25 - Inf) hr,F2,10-D
10,0.791666667,prain,0.037481695,[19:25 - Inf) hr,F2,10-D
